Ensembl	Name	AltNames	Biotype	GeneLength	SumExonLength	Chr
FBgn0036146	CG14141	CG14141-RA	protein_coding	808	755	3L
FBgn0036147	Plod	CG6199-RA,CG6199	protein_coding	7851	2630	3L
FBgn0036149	CG18490		protein_coding	13292	4134	3L
FBgn0036150	Ir68a	Ir68a-RA,CG6185	protein_coding	3247	2443	3L
FBgn0036152	CG6175	CG6175-RB	protein_coding	7984	3956	3L
FBgn0036153	CG7573	CG7573-RB	protein_coding	1651	1523	3L
FBgn0036154	CG6168	CG6168-RB	protein_coding	2078	2078	3L
FBgn0036155	CG6163	CG6163-RA	protein_coding	2900	2020	3L
FBgn0036156	CG11726	CG11726-RA	protein_coding	984	984	3L
FBgn0036157	CG7560	CG7560-RA	protein_coding	1238	1107	3L
FBgn0036158	CG6149	CG6149-RB	protein_coding	782	782	3L
FBgn0036159	CG7557	CG7557-RB	protein_coding	1419	1356	3L
FBgn0036160	CG12289	CG12289-RA	protein_coding	1395	1395	3L
FBgn0036161	CG7551	CG7551-RB	protein_coding	1136	1136	3L
FBgn0036162	CG6140	CG6140-RA	protein_coding	2295	1846	3L
FBgn0036164	CG7543	CG7543-RA	protein_coding	6865	1530	3L
FBgn0036165	chrb	chrb-RC	protein_coding	11506	5960	3L
FBgn0036168	CG7512	CG7512-RC	protein_coding	5200	1958	3L
FBgn0036169	Fuca	Fuca-RB	protein_coding	3916	3513	3L
FBgn0036170	CG11714	CG11714-RA	protein_coding	3917	3514	3L
FBgn0036172	Mob1		protein_coding	39477	5606	3L
FBgn0036173	CG7394	CG7394-RA	protein_coding	2317	1554	3L
FBgn0036176	CG7377	CG7377-RA	protein_coding	285	285	3L
FBgn0036177	CG33268	CG33268-RA	protein_coding	360	360	3L
FBgn0036178	CG14137	CG14137-RA	protein_coding	312	312	3L
FBgn0036179	CG7368	CG7368-RB	protein_coding	8173	2916	3L
FBgn0036180	CG6091	CG6091-RE	protein_coding	4030	3442	3L
FBgn0036181	Muc68Ca	CG18331,Muc68Ca-RA	protein_coding	9524	9524	3L
FBgn0036183	CG6083	CG6083-RA	protein_coding	1598	1308	3L
FBgn0036184	PCID2	CG7351,PCID2-RA	protein_coding	1275	1275	3L
FBgn0036186	CG6071	CG6071-RA	protein_coding	3128	2926	3L
FBgn0036187	RIOK1	CG11660-RB,CG11660	protein_coding	2241	2121	3L
FBgn0036188	CG7339	CG7339-RA	protein_coding	1744	1628	3L
FBgn0036191	Sug	Sug-RD	protein_coding	6176	3830	3L
FBgn0036192	Pallidin	CG14133-RB,CG14133	protein_coding	1769	952	3L
FBgn0036193	CG14135	CG14135-RB	protein_coding	1187	1064	3L
FBgn0036194	CG11652	CG11652-RB	protein_coding	3085	1873	3L
FBgn0036195	CG6053	CG6053-RB	protein_coding	2138	1885	3L
FBgn0036196	CG11658	CG11658-RB	protein_coding	9058	2731	3L
FBgn0036197	mtTFB1		protein_coding	1642	1579	3L
FBgn0036198	crim	CG6038,CG6038-RA	protein_coding	880	752	3L
FBgn0036199	Bmcp	Bmcp-RB	protein_coding	7185	1855	3L
FBgn0036202	CG6024	CG6024-RD	protein_coding	32594	5263	3L
FBgn0036203	Muc68D	CG6004,Muc68D-RB	protein_coding	4859	4802	3L
FBgn0036204	Tim13	Tim13-RA	protein_coding	442	442	3L
FBgn0036205	CG14131	CG14131-RA	protein_coding	3413	2532	3L
FBgn0036206	CG5964	CG5964-RA	protein_coding	3072	3007	3L
FBgn0036207	CG10907	CG10907-RA	protein_coding	1905	1610	3L
FBgn0036208	CG10361	CG10361-RA	protein_coding	1914	1431	3L
FBgn0036210	CG14130	CG14130-RA	protein_coding	1267	1067	3L
FBgn0036211	CG5946	CG5946-RA	protein_coding	5581	2706	3L
FBgn0036212	CG11597	CG11597-RC	protein_coding	1938	1851	3L
FBgn0036213	RpL10Ab	RpL10Ab-RD	protein_coding	1361	960	3L
FBgn0036214	CG7264	CG7264-RA	protein_coding	1815	1700	3L
FBgn0036217	CG5906	CG5906-RA	protein_coding	849	849	3L
FBgn0036218	CG14128	CG14128-RD	protein_coding	2068	1977	3L
FBgn0036219	CCDC151	CG14127-RA,CG14127	protein_coding	2163	1845	3L
FBgn0036220	CG5897	CG5897-RA	protein_coding	1723	1671	3L
FBgn0036221	CG11588	CG11588-RA	protein_coding	1087	1087	3L
FBgn0036222	CG5718	CG5718-RA	protein_coding	2148	2148	3L
FBgn0036223	CG14126	CG14126-RA	protein_coding	6931	2344	3L
FBgn0036224	Rpt4R	CG7257,Rpt4R-RA	protein_coding	1574	1502	3L
FBgn0036225	CG5883	CG5883-RA	protein_coding	1213	1146	3L
FBgn0036226	CG7252	CG7252-RA	protein_coding	1574	1514	3L
FBgn0036227	CG17826	CG17826-RA	protein_coding	2387	2329	3L
FBgn0036228	obst-G	obst-G-RA	protein_coding	1017	962	3L
FBgn0036229	CG7248	CG7248-RA	protein_coding	2698	2611	3L
FBgn0036230	CG11570	CG11570-RA	protein_coding	1058	951	3L
FBgn0036232	CG14125	CG14125-RA	protein_coding	906	860	3L
FBgn0036233	CG6947	CG6947-RA	protein_coding	4817	4208	3L
FBgn0036234	CG17824	CG17824-RA	protein_coding	2415	2415	3L
FBgn0036235	CG6938	CG6938-RB	protein_coding	5600	4246	3L
FBgn0036236	CG6931	CG6931-RA	protein_coding	1265	1075	3L
FBgn0036237	viaf	viaf-RA	protein_coding	1327	1158	3L
FBgn0036239	Pop2	Pop2-RB	protein_coding	4518	2623	3L
FBgn0036240	CG6928	CG6928-RB	protein_coding	4897	2585	3L
FBgn0036242	CG6793	CG6793-RA	protein_coding	1831	1770	3L
FBgn0036246	CG17154	CG17154-RA	protein_coding	600	600	3L
FBgn0036248	ssp	CG17153,CG17153-RA	protein_coding	1533	1412	3L
FBgn0036249	CG11560	CG11560-RA	protein_coding	1167	1101	3L
FBgn0036250	Ir68b	CG17152,Ir68b-RA	protein_coding	1908	1908	3L
FBgn0036254	CG5645	CG5645-RA	protein_coding	2936	2745	3L
FBgn0036255	Atg12	Atg12-RB	protein_coding	593	469	3L
FBgn0036257	RhoGAP68F	RhoGAP68F-RA	protein_coding	4513	2378	3L
FBgn0036258	CG5642	CG5642-RA	protein_coding	2652	1834	3L
FBgn0036259	CG9760	CG9760-RC	protein_coding	6684	2039	3L
FBgn0036260	Rh7	Rh7-RA	protein_coding	11278	4014	3L
FBgn0036262	CG6910	CG6910-RB	protein_coding	2877	1609	3L
FBgn0036263	thoc6	thoc6-RA	protein_coding	2993	2895	3L
FBgn0036264	CG11529	CG11529-RA	protein_coding	1240	1240	3L
FBgn0036266	CG5626	CG5626-RA	protein_coding	1900	1491	3L
FBgn0036267	CG17144		protein_coding	3112	1743	3L
FBgn0036268	CG5620		protein_coding	55159	3814	3L
FBgn0036271	Pbgs	Pbgs-RA	protein_coding	1894	1894	3L
FBgn0036272	CG4300	CG4300-RA	protein_coding	5596	2092	3L
FBgn0036273	CG10426	CG10426-RA	protein_coding	3822	3133	3L
FBgn0036274	CG4328	CG4328-RB	protein_coding	5168	1968	3L
FBgn0036277	CG10418	CG10418-RA	protein_coding	561	437	3L
FBgn0036278	CrzR	GRHRII-RA,GRHRII	protein_coding	12429	3238	3L
FBgn0036279	Ncc69	Ncc69-RB	protein_coding	22799	5047	3L
FBgn0036282	Smyd4	Smyd4-RA,CG14122	protein_coding	2397	2165	3L
FBgn0036285	toe	toe-RA	protein_coding	10159	2400	3L
FBgn0036286	CG10616	CG10616-RA	protein_coding	2701	1886	3L
FBgn0036287	CG10663	CG10663-RC	protein_coding	10618	3174	3L
FBgn0036288	CG10660	CG10660-RA	protein_coding	4009	2310	3L
FBgn0036289	CG10657	CG10657-RA	protein_coding	5387	1524	3L
FBgn0036290	CG10638	CG10638-RC	protein_coding	3206	2446	3L
FBgn0036291	CG10681	CG10681-RA	protein_coding	1135	1027	3L
FBgn0036292	CG10646	CG10646-RA	protein_coding	1428	1377	3L
FBgn0036294	CG10654	CG10654-RA	protein_coding	2467	1805	3L
FBgn0036298	nst	CG10627,CG10627-RA	protein_coding	2957	2202	3L
FBgn0036299	Tsf2	Tsf2-RA	protein_coding	3289	2884	3L
FBgn0036300	CG10688	CG10688-RA	protein_coding	924	924	3L
FBgn0036301	CG4069	CG4069-RA	protein_coding	1890	1709	3L
FBgn0036302	sowah	CG10632,sowah-RD	protein_coding	35030	3013	3L
FBgn0036305	CG10984	CG10984-RB	protein_coding	3284	2518	3L
FBgn0036306	CG10973	CG10973-RB	protein_coding	1536	1032	3L
FBgn0036309	Hip1	CG10971,Hip1-RB	protein_coding	5142	4569	3L
FBgn0036310	CG10969	CG10969-RA	protein_coding	2348	2348	3L
FBgn0036311	CG17666	CG17666-RA	protein_coding	3053	2908	3L
FBgn0036312	Pegarn	CG17667,Pegarn-RB	protein_coding	5892	2754	3L
FBgn0036314	CG10754	CG10754-RA	protein_coding	992	992	3L
FBgn0036315	CG11008		protein_coding	7443	6125	3L
FBgn0036316	CG10960	CG10960-RC	protein_coding	18227	3389	3L
FBgn0036317	CG10948	CG10948-RC	protein_coding	5864	2956	3L
FBgn0036318	Wbp2	CG11009-RA,CG11009	protein_coding	3005	2007	3L
FBgn0036319	Ent3	Ent3-RA	protein_coding	3783	3363	3L
FBgn0036320	CG10943	CG10943-RA	protein_coding	1204	1150	3L
FBgn0036321	CG14120	CG14120-RA	protein_coding	4206	4206	3L
FBgn0036322	CG14119	CG14119-RA	protein_coding	420	420	3L
FBgn0036323	CG14118	CG14118-RA	protein_coding	2101	1637	3L
FBgn0036324	CG12520	CG12520-RB	protein_coding	1491	1427	3L
FBgn0036325	CG10752	CG10752-RA	protein_coding	1962	1774	3L
FBgn0036327	CG10748	CG10748-RA	protein_coding	1146	1146	3L
FBgn0036328	CG10749	CG10749-RA	protein_coding	1177	1177	3L
FBgn0036329	CG11262	CG11262-RA	protein_coding	2284	2284	3L
FBgn0036330	CG11263	CG11263-RB	protein_coding	1065	1065	3L
FBgn0036331	CG14117	CG14117-RC	protein_coding	1166	1053	3L
FBgn0036332	CG11261	CG11261-RA	protein_coding	2287	2215	3L
FBgn0036333	MICAL-like	MICAL-like-RA	protein_coding	3357	3357	3L
FBgn0036334	CG11267	CG11267-RA	protein_coding	854	594	3L
FBgn0036335	mRpL20	mRpL20-RA	protein_coding	719	602	3L
FBgn0036336	ste14	CG11268,ste14-RA	protein_coding	1422	1227	3L
FBgn0036337	AdenoK	CG11255-RA,CG11255	protein_coding	2974	1905	3L
FBgn0036338	CG11253	CG11253-RA	protein_coding	1675	1497	3L
FBgn0036340	SRm160	SRm160-RA	protein_coding	4156	3862	3L
FBgn0036341	Syx13	Syx13-RA	protein_coding	2461	1700	3L
FBgn0036342	CG11279	CG11279-RA	protein_coding	1943	1880	3L
FBgn0036343	CG14115	CG14115-RA	protein_coding	873	660	3L
FBgn0036345	CG17300	CG17300-RA	protein_coding	903	699	3L
FBgn0036346	CG11251	CG11251-RA	protein_coding	1389	1389	3L
FBgn0036347	CG11281		protein_coding	3016	2145	3L
FBgn0036348	CG17687	CG17687-RA	protein_coding	5776	4812	3L
FBgn0036349	SNCF	SNCF-RA	protein_coding	608	608	3L
FBgn0036350	CG14111	CG14111-RA	protein_coding	2424	792	3L
FBgn0036351	CG14107	CG14107-RA	protein_coding	988	925	3L
FBgn0036352	CG14110	CG14110-RA	protein_coding	1137	1085	3L
FBgn0036353	CG10171	CG10171-RA	protein_coding	1962	1845	3L
FBgn0036354	Poc1	CG10191,CG10191-RA	protein_coding	1708	1641	3L
FBgn0036356	CG10222	CG10222-RA	protein_coding	1332	1332	3L
FBgn0036357	CG10724		protein_coding	3625	2357	3L
FBgn0036358	CG14106		protein_coding	1099	1099	3L
FBgn0036359	CG14105	CG14105-RA	protein_coding	783	666	3L
FBgn0036360	CG10713	CG10713-RA	protein_coding	6391	2534	3L
FBgn0036361	CG10154	CG10154-RA	protein_coding	1457	1165	3L
FBgn0036362	CG10725	CG10725-RB	protein_coding	1056	876	3L
FBgn0036363	CG10140	CG10140-RA	protein_coding	1154	969	3L
FBgn0036364	CG14109	CG14109-RA	protein_coding	1511	948	3L
FBgn0036365	CG10732	CG10732-RA	protein_coding	6652	5561	3L
FBgn0036366	CG10133	CG10133-RA	protein_coding	1097	1097	3L
FBgn0036367	CG10116	CG10116-RA	protein_coding	1031	918	3L
FBgn0036368	CG10738	CG10738-RC	protein_coding	14770	5121	3L
FBgn0036369	CG10089	CG10089-RB	protein_coding	9236	3708	3L
FBgn0036372	Abp1	CG10083-RA,CG10083	protein_coding	2748	2500	3L
FBgn0036373	Tgi	CG10741,CG10741-RB	protein_coding	15696	2424	3L
FBgn0036374	Spt20	CG17689-RA,CG17689	protein_coding	8835	8181	3L
FBgn0036376	Liprin-beta	CG10743,CG10743-RB	protein_coding	3023	2897	3L
FBgn0036377	CG10710	CG10710-RA	protein_coding	3333	2637	3L
FBgn0036379	bru-3	bru-3-RB	protein_coding	128832	2606	3L
FBgn0036380	CG8757	CG8757-RA	protein_coding	2044	1878	3L
FBgn0036381	CG8745	CG8745-RA	protein_coding	6879	2429	3L
FBgn0036382	CG13737	CG13737-RA	protein_coding	4063	938	3L
FBgn0036386	CG8833	CG8833-RA	protein_coding	3119	3002	3L
FBgn0036389	ssp2	ssp2-RA,CG9028	protein_coding	7865	4496	3L
FBgn0036390	CG13738	CG13738-RA	protein_coding	355	355	3L
FBgn0036391	CG17364	CG17364-RB	protein_coding	15496	5456	3L
FBgn0036393	CG17362	CG17362-RA	protein_coding	565	565	3L
FBgn0036394	CG9040	CG9040-RA	protein_coding	749	749	3L
FBgn0036395	CG17361	CG17361-RA	protein_coding	865	865	3L
FBgn0036396	CG17359	CG17359-RA	protein_coding	1352	1352	3L
FBgn0036397	CG8783	CG8783-RB	protein_coding	2501	2442	3L
FBgn0036398	upSET	CG9007,CG9007-RA	protein_coding	18022	12737	3L
FBgn0036402	CG6650	CG6650-RA	protein_coding	3460	3132	3L
FBgn0036403	CG6661	CG6661-RA	protein_coding	1976	1976	3L
FBgn0036405	CG6833	CG6833-RB	protein_coding	1264	1264	3L
FBgn0036406	CG13484	CG13484-RA	protein_coding	652	652	3L
FBgn0036410	CG8100	CG8100-RA	protein_coding	2350	2251	3L
FBgn0036411	Sox21a	Sox21a-RA	protein_coding	4638	2335	3L
FBgn0036414	nan	nan-RA	protein_coding	3400	2850	3L
FBgn0036415	CG7768	CG7768-RB	protein_coding	771	717	3L
FBgn0036416	CG7924	CG7924-RA	protein_coding	1141	1079	3L
FBgn0036417	CG7906	CG7906-RA	protein_coding	1638	1351	3L
FBgn0036419	CG13482	CG13482-RA	protein_coding	540	540	3L
FBgn0036421	CG13481	CG13481-RB	protein_coding	783	783	3L
FBgn0036422	CG3868	CG3868-RA	protein_coding	1957	1181	3L
FBgn0036423	CG3919	CG3919-RB	protein_coding	2107	1406	3L
FBgn0036424	CG9598		protein_coding	4510	3842	3L
FBgn0036425	bbg		protein_coding	5643	4659	3L
FBgn0036426	CG9592	CG9592-RB	protein_coding	651	651	3L
FBgn0036427	CG4613	CG4613-RA	protein_coding	1931	1241	3L
FBgn0036428	Gbs-70E	CG9238-RB,CG9238	protein_coding	10039	2846	3L
FBgn0036433	CG9628	CG9628-RA	protein_coding	5379	1179	3L
FBgn0036436	CG4914	CG4914-RA	protein_coding	3610	1657	3L
FBgn0036437	CG5048	CG5048-RA	protein_coding	1075	964	3L
FBgn0036438	CG13477	CG13477-RA	protein_coding	616	616	3L
FBgn0036439	CG13474	CG13474-RA	protein_coding	555	555	3L
FBgn0036440	CG17177	CG17177-RA	protein_coding	4366	4002	3L
FBgn0036441	CG13476	CG13476-RB	protein_coding	694	694	3L
FBgn0036442	CG13473	CG13473-RA	protein_coding	584	584	3L
FBgn0036443	CG13471	CG13471-RA	protein_coding	929	929	3L
FBgn0036446	CG9384	CG9384-RA	protein_coding	5676	4612	3L
FBgn0036447	CG17173	CG17173-RA	protein_coding	1581	1581	3L
FBgn0036448	mop	CG9311,mop-RA	protein_coding	6789	5961	3L
FBgn0036449	bmm	bmm-RB	protein_coding	9917	2437	3L
FBgn0036450	Tdrd3	CG13472-RA,CG13472	protein_coding	2875	2644	3L
FBgn0036451	CG9425	CG9425-RB	protein_coding	11155	8665	3L
FBgn0036454	CG17839	CG17839-RB	protein_coding	77089	6089	3L
FBgn0036455	CG13467		protein_coding	1024	891	3L
FBgn0036456	CG13466		protein_coding	21206	3406	3L
FBgn0036459	CG3349	CG3349-RA	protein_coding	2813	2408	3L
FBgn0036460	CG5114	CG5114-RA	protein_coding	1652	1500	3L
FBgn0036461	Zip71B	CG10006,CG10006-RB	protein_coding	5695	2391	3L
FBgn0036462	mRpL39	mRpL39-RA	protein_coding	1686	1137	3L
FBgn0036463	Reck	CG5392,Reck-RA	protein_coding	12825	4268	3L
FBgn0036464	CG3020		protein_coding	17726	2176	3L
FBgn0036465	Rpn12R	Rpn12R-RA,CG11552	protein_coding	940	940	3L
FBgn0036466	CG18581	CG18581-RA	protein_coding	660	660	3L
FBgn0036467	CG12310	CG12310-RA	protein_coding	544	544	3L
FBgn0036468	CG13461	CG13461-RA	protein_coding	560	560	3L
FBgn0036469	CG18649	CG18649-RA	protein_coding	568	568	3L
FBgn0036470	CG13463	CG13463-RA	protein_coding	789	789	3L
FBgn0036471	CG13460	CG13460-RB	protein_coding	677	677	3L
FBgn0036474	Or71a	Or71a-RB	protein_coding	1541	1433	3L
FBgn0036476	CG6945	CG6945-RA	protein_coding	3897	2854	3L
FBgn0036478	CG6854	CG6854-RA	protein_coding	14843	4252	3L
FBgn0036479	CG13458	CG13458-RA	protein_coding	2817	2188	3L
FBgn0036480	Cep135	Cep135-RA,CG17081	protein_coding	11293	3570	3L
FBgn0036481	CG16959	CG16959-RA	protein_coding	5444	2292	3L
FBgn0036482	CG13457	CG13457-RA	protein_coding	3439	3284	3L
FBgn0036483	CG12316	CG12316-RB	protein_coding	5427	4382	3L
FBgn0036484	Pex3	CG6859-RA,CG6859	protein_coding	2025	1906	3L
FBgn0036485	FucTA	FucTA-RA	protein_coding	7259	3338	3L
FBgn0036486	Msh6	CG7003,Msh6-RA	protein_coding	4330	4080	3L
FBgn0036487	Prp31	CG6876,CG6876-RA	protein_coding	2039	1862	3L
FBgn0036488	CG6878	CG6878-RA	protein_coding	654	531	3L
FBgn0036489	CG7011	CG7011-RA	protein_coding	2753	1343	3L
FBgn0036490	CG6888	CG6888-RA	protein_coding	743	743	3L
FBgn0036491	Best4	Best4-RB	protein_coding	1985	1662	3L
FBgn0036492	Best3	Best3-RA	protein_coding	1871	1694	3L
FBgn0036493	CG7255	CG7255-RE	protein_coding	6941	5047	3L
FBgn0036494	Toll-6	Toll-6-RA	protein_coding	7624	7624	3L
FBgn0036495	CG33259	CG33259-RA	protein_coding	436	436	3L
FBgn0036496	CG7804	CG7804-RA	protein_coding	1914	1782	3L
FBgn0036497	Ran-like	ran-like-RA	protein_coding	1007	1007	3L
FBgn0036498	CG13455	CG13455-RA	protein_coding	1482	1414	3L
FBgn0036499	CG7276	CG7276-RB	protein_coding	620	620	3L
FBgn0036500	CG7275	CG7275-RA	protein_coding	1603	1495	3L
FBgn0036501	CG7272	CG7272-RA	protein_coding	2832	1191	3L
FBgn0036502	CG7841	CG7841-RA	protein_coding	3065	1628	3L
FBgn0036503	CG13454	CG13454-RA	protein_coding	524	524	3L
FBgn0036504	yellow-k	yellow-k-RA	protein_coding	1034	1034	3L
FBgn0036505	CG7945	CG7945-RC	protein_coding	2427	1772	3L
FBgn0036509	CG7739	CG7739-RA	protein_coding	2340	2281	3L
FBgn0036510	CG7427	CG7427-RA	protein_coding	2133	2046	3L
FBgn0036511	CG6498	CG6498-RA	protein_coding	10301	7868	3L
FBgn0036512	CG16979	CG16979-RA	protein_coding	2105	2046	3L
FBgn0036513	Tfb2		protein_coding	1911	1856	3L
FBgn0036514	CG12301	CG12301-RA	protein_coding	2574	2515	3L
FBgn0036515	CG12304	CG12304-RA	protein_coding	1710	1150	3L
FBgn0036516	CG7656	CG7656-RA	protein_coding	2745	2154	3L
FBgn0036518	RhoGAP71E	RhoGAP71E-RA	protein_coding	20266	6458	3L
FBgn0036519	CG7650	CG7650-RA	protein_coding	1680	1680	3L
FBgn0036520	CG13449	CG13449-RA	protein_coding	2198	1781	3L
FBgn0036522	CG7372	CG7372-RA	protein_coding	4230	4172	3L
FBgn0036524	CG13446		protein_coding	665	486	3L
FBgn0036527	CG7304	CG7304-RB	protein_coding	1751	1692	3L
FBgn0036528	CG7579	CG7579-RA	protein_coding	1813	1681	3L
FBgn0036529	pgant8	pgant8-RA	protein_coding	2727	2199	3L
FBgn0036531	CG6244	CG6244-RA	protein_coding	562	509	3L
FBgn0036532	CG13445	CG13445-RA	protein_coding	493	431	3L
FBgn0036533	CG6151	CG6151-RC	protein_coding	6297	1496	3L
FBgn0036534	DCP2	Dcp2-RA	protein_coding	7690	5971	3L
FBgn0036536	CG12713	CG12713-RA	protein_coding	1484	1351	3L
FBgn0036537	CG18081	CG18081-RA	protein_coding	1594	1002	3L
FBgn0036538	CG15715	CG15715-RA	protein_coding	1790	969	3L
FBgn0036541	CG12486	CG12486-RA	protein_coding	696	696	3L
FBgn0036542	pHCl	pHCl-RE	protein_coding	47713	5015	3L
FBgn0036544	sff	CG6114,CG6114-RA	protein_coding	24706	6785	3L
FBgn0036545	GXIVsPLA2	GXIVsPLA2-RA	protein_coding	1370	1234	3L
FBgn0036546	elgi	CG17033,elgi-RA	protein_coding	1884	1611	3L
FBgn0036547	CG17032	CG17032-RA	protein_coding	1767	1463	3L
FBgn0036548	CG5931	CG5931-RA	protein_coding	7049	6719	3L
FBgn0036549	CG10516	CG10516-RA	protein_coding	1699	1329	3L
FBgn0036550	CG17026	CG17026-RA	protein_coding	1061	1004	3L
FBgn0036551	CG17029	CG17029-RA	protein_coding	1566	1167	3L
FBgn0036552	CG17028	CG17028-RB	protein_coding	1481	1140	3L
FBgn0036553	CG17027	CG17027-RA	protein_coding	1789	1558	3L
FBgn0036555	CG6017		protein_coding	3404	3085	3L
FBgn0036556	CG5830	CG5830-RA	protein_coding	12068	3603	3L
FBgn0036557	mRpS31	mRpS31-RA	protein_coding	1407	1277	3L
FBgn0036558	mib1	mib1-RA	protein_coding	5261	4026	3L
FBgn0036560	CG5895	CG5895-RB	protein_coding	1743	1567	3L
FBgn0036563	CG13075	CG13075-RB	protein_coding	1272	1149	3L
FBgn0036564	Taspase1	Taspase1-RA,CG5241	protein_coding	1646	1500	3L
FBgn0036565	CG5235	CG5235-RA	protein_coding	2766	2711	3L
FBgn0036566	ClC-c	CG5284-RC,CG5284	protein_coding	5698	3962	3L
FBgn0036567	CG13074	CG13074-RA	protein_coding	1726	1533	3L
FBgn0036568	ms(3)72Dt	CG5389-RA,CG5389	protein_coding	2255	2036	3L
FBgn0036569	CG5414	CG5414-RB	protein_coding	3203	2900	3L
FBgn0036570	IntS9	CG5222,CG5222-RA	protein_coding	2196	2078	3L
FBgn0036571	CG12272	CG12272-RB	protein_coding	4051	3814	3L
FBgn0036573	CG5161	CG5161-RA	protein_coding	612	555	3L
FBgn0036574	elg1	CG16838,CG16838-RD	protein_coding	4664	4200	3L
FBgn0036575	CG5157	CG5157-RA	protein_coding	1393	1393	3L
FBgn0036576	CG5151	CG5151-RB	protein_coding	26900	7580	3L
FBgn0036577	CG13073	CG13073-RA	protein_coding	4253	1500	3L
FBgn0036578	CG5018	CG5018-RA	protein_coding	2568	2270	3L
FBgn0036579	CG5027	CG5027-RA	protein_coding	2040	1862	3L
FBgn0036580	PDCD-5	PDCD-5-RA	protein_coding	958	650	3L
FBgn0036581	MED10	MED10-RB	protein_coding	694	638	3L
FBgn0036583	CG13055	CG13055-RA	protein_coding	2796	2796	3L
FBgn0036584	CG13054	CG13054-RA	protein_coding	1340	1340	3L
FBgn0036585	CG13071	CG13071-RA	protein_coding	508	434	3L
FBgn0036586	CG13070	CG13070-RA	protein_coding	809	568	3L
FBgn0036587	CG4950	CG4950-RB	protein_coding	2360	2360	3L
FBgn0036588	CG13068	CG13068-RA	protein_coding	520	450	3L
FBgn0036589	CG13067	CG13067-RA	protein_coding	637	564	3L
FBgn0036590	CG13065	CG13065-RA	protein_coding	746	677	3L
FBgn0036591	CG13050	CG13050-RA	protein_coding	814	694	3L
FBgn0036592	CG13049	CG13049-RB	protein_coding	799	736	3L
FBgn0036593	CG13048	CG13048-RA	protein_coding	1113	945	3L
FBgn0036594	CG13047	CG13047-RB	protein_coding	717	639	3L
FBgn0036595	CG13046	CG13046-RB	protein_coding	843	781	3L
FBgn0036596	CG13045	CG13045-RA	protein_coding	1239	1182	3L
FBgn0036597	CG4962	CG4962-RA	protein_coding	837	774	3L
FBgn0036598	CG4982	CG4982-RA	protein_coding	575	512	3L
FBgn0036599	CG13044	CG13044-RA	protein_coding	689	624	3L
FBgn0036600	CG13043	CG13043-RA	protein_coding	646	646	3L
FBgn0036601	CG13063	CG13063-RA	protein_coding	606	544	3L
FBgn0036602	CG13042	CG13042-RA	protein_coding	635	571	3L
FBgn0036603	CG13062	CG13062-RA	protein_coding	865	801	3L
FBgn0036605	CG13041	CG13041-RA	protein_coding	573	513	3L
FBgn0036606	CG13060	CG13060-RA	protein_coding	599	539	3L
FBgn0036607	CG13059	CG13059-RA	protein_coding	637	572	3L
FBgn0036608	CG13040	CG13040-RA	protein_coding	1675	1419	3L
FBgn0036609	CG13039	CG13039-RA	protein_coding	706	706	3L
FBgn0036610	CG13058	CG13058-RA	protein_coding	694	606	3L
FBgn0036612	CG4998	CG4998-RA	protein_coding	6239	4192	3L
FBgn0036613	mRpS34		protein_coding	680	680	3L
FBgn0036614	CG4925	CG4925-RA	protein_coding	3205	2559	3L
FBgn0036615	CG4933	CG4933-RA	protein_coding	1296	1180	3L
FBgn0036616	CG4893	CG4893-RA	protein_coding	4683	1400	3L
FBgn0036617	Cpr72Ea	Cpr72Ea-RA	protein_coding	1148	1148	3L
FBgn0036618	Cpr72Eb	Cpr72Eb-RA	protein_coding	809	809	3L
FBgn0036619	Cpr72Ec	Cpr72Ec-RA	protein_coding	1447	1447	3L
FBgn0036620	CG4842	CG4842-RA	protein_coding	1130	934	3L
FBgn0036621	roq	roq-RA	protein_coding	7629	6179	3L
FBgn0036622	CG4753	CG4753-RB	protein_coding	2597	1628	3L
FBgn0036623	CG4729	CG4729-RA	protein_coding	4186	2401	3L
FBgn0036624	RAF2	CG4877-RA,CG4877	protein_coding	4490	4082	3L
FBgn0036626	CG13036	CG13036-RA	protein_coding	854	730	3L
FBgn0036627	Grp	CG4680,CG4680-RA	protein_coding	2295	2295	3L
FBgn0036628	CG13035	CG13035-RA	protein_coding	3205	2220	3L
FBgn0036629	CG4573	CG4573-RA	protein_coding	1886	1700	3L
FBgn0036637	CG12436	CG12436-RA	protein_coding	1127	561	3L
FBgn0036638	CG13033	CG13033-RA	protein_coding	1062	828	3L
FBgn0036639	CG4229	CG4229-RA	protein_coding	1136	949	3L
FBgn0036640	nxf2	nxf2-RB	protein_coding	3448	2917	3L
FBgn0036641	Smn	Smn-RA	protein_coding	1150	1086	3L
FBgn0036642	CG4169		protein_coding	1993	1691	3L
FBgn0036643	Syx8	Syx8-RA	protein_coding	950	897	3L
FBgn0036646	CR18217	CR18217-RB,CG18217	pseudogene	2276	2100	3L
FBgn0036648	CG4098	CG4098-RA	protein_coding	1210	1154	3L
FBgn0036650	Baldspot		protein_coding	12808	2478	3L
FBgn0036652	CG13032	CG13032-RA	protein_coding	2301	2187	3L
FBgn0036654	CG9692	CG9692-RB	protein_coding	1456	1393	3L
FBgn0036655	CG13031	CG13031-RA	protein_coding	515	460	3L
FBgn0036656	CG13026	CG13026-RB	protein_coding	1492	1431	3L
